Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Item_Visibility_MeanRatio,Item_Type_Aggregate,Outlet_Years
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,train,0.9310779543761083,High Sales,14
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,train,0.9334195208758378,Low Sales,4
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,train,0.8727897762771314,Medium Sales,14
FDX07,19.2,Regular,0.01783433788888889,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,train,0.8181818181818182,High Sales,15
NCD19,8.93,Non-Consumable,0.009779828555555556,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,train,0.75,High Sales,26
FDP36,10.395,Regular,0.057058688875,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,train,0.7272727272727273,Low Sales,4
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,train,1.069426769751245,High Sales,26
FDP10,12.6,Low Fat,0.127469857,Snack Foods,107.76220000000001,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,train,0.8704928816397633,High Sales,28
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,train,0.9241603619293527,Medium Sales,11
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,train,0.8763482180275006,Medium Sales,6
FDY07,11.8,Low Fat,0.040626524444444444,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,train,0.6,High Sales,14
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,train,0.9330256864425739,High Sales,16
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,train,0.9330543755673081,High Sales,14
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,train,0.922289906298101,High Sales,16
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,train,0.9583620262153766,High Sales,26
FDP49,9,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,train,0.9252652611972232,Medium Sales,16
NCB42,11.8,Non-Consumable,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,train,1.0031395479206202,Low Sales,4
FDP49,9,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,train,0.9267038031378307,Medium Sales,14
DRI11,12.6,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,train,0.8704928693111869,Medium Sales,28
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,train,0.922115518306462,High Sales,9
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,train,1.0132484392100192,High Sales,26
FDW12,12.6,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,train,0.8675537073800341,Low Sales,28
NCB30,14.6,Non-Consumable,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,train,0.8628943947372768,High Sales,9
FDC37,12.6,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,train,1.5315371875133976,Low Sales,28
