Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Visibility_MeanRatio,Item_Type_Aggregate,Outlet_Years
FDA15,9.3,Low Fat,0.016047301,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,0.9310779543761083,High Sales,14
DRC01,5.92,Regular,0.019278216,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,0.9334195208758378,Low Sales,4
FDN15,17.5,Low Fat,0.016760075,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,0.8727897762771314,Medium Sales,14
FDX07,19.2,Regular,0.01783433788888889,182.095,OUT010,Small,Tier 3,Grocery Store,732.38,0.8181818181818182,High Sales,15
NCD19,8.93,Non-Consumable,0.009779828555555556,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052,0.75,High Sales,26
FDP36,10.395,Regular,0.057058688875,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,0.7272727272727273,Low Sales,4
FDO10,13.65,Regular,0.012741089,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528,1.069426769751245,High Sales,26
FDP10,12.6,Low Fat,0.127469857,107.76220000000001,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,0.8704928816397633,High Sales,28
FDH17,16.2,Regular,0.016687114,96.9726,OUT045,Small,Tier 2,Supermarket Type1,1076.5986,0.9241603619293527,Medium Sales,11
FDU28,19.2,Regular,0.09444959,187.8214,OUT017,Small,Tier 2,Supermarket Type1,4710.535,0.8763482180275006,Medium Sales,6
FDY07,11.8,Low Fat,0.040626524444444444,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,0.6,High Sales,14
FDA03,18.5,Regular,0.045463773,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153,0.9330256864425739,High Sales,16
FDX32,15.1,Regular,0.1000135,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,0.9330543755673081,High Sales,14
FDS46,17.6,Regular,0.047257328,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,0.922289906298101,High Sales,16
FDF32,16.35,Low Fat,0.0680243,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.426,0.9583620262153766,High Sales,26
FDP49,9,Regular,0.069088961,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,0.9252652611972232,Medium Sales,16
NCB42,11.8,Non-Consumable,0.008596051,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,1.0031395479206202,Low Sales,4
FDP49,9,Regular,0.069196376,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,0.9267038031378307,Medium Sales,14
DRI11,12.6,Low Fat,0.034237682,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.668,0.8704928693111869,Medium Sales,28
FDU02,13.35,Low Fat,0.10249212,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,0.922115518306462,High Sales,9
FDN22,18.85,Regular,0.138190277,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086,1.0132484392100192,High Sales,26
FDW12,12.6,Regular,0.035399923,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,0.8675537073800341,Low Sales,28
NCB30,14.6,Non-Consumable,0.025698134,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,0.8628943947372768,High Sales,9
FDC37,12.6,Low Fat,0.057556998,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876,1.5315371875133976,Low Sales,28
FDR28,13.85,Regular,0.025896485,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025,0.9296326154440037,Medium Sales,16
NCD06,13,Non-Consumable,0.099887103,45.906,OUT017,Small,Tier 2,Supermarket Type1,838.908,0.9275067672165533,High Sales,6
FDV10,7.645,Regular,0.066693437,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28,0.8835292524522668,High Sales,9
DRJ59,11.65,Low Fat,0.019356132,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312,0.9317498202269066,Medium Sales,26
FDE51,5.925,Regular,0.161466534,45.5086,OUT010,Small,Tier 3,Grocery Store,178.4344,1.4445814400022103,High Sales,15
FDC14,12.6,Regular,0.072221801,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362,1.5263660738938303,High Sales,28
FDV38,19.25,Low Fat,0.170348551,55.7956,OUT010,Small,Tier 3,Grocery Store,163.7868,1.4641166675359905,High Sales,15
NCS17,18.6,Non-Consumable,0.080829372,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,1.0031395405819457,Low Sales,4
FDP33,18.7,Low Fat,0.0930934742,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,0.9090909090909091,High Sales,4
FDO23,17.85,Low Fat,0.14246229066666666,93.1436,OUT045,Small,Tier 2,Supermarket Type1,2174.5028,0.8999999999999999,High Sales,11
DRH01,17.5,Low Fat,0.097904029,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,0.9222899199987085,Low Sales,16
NCX29,10,Non-Consumable,0.089291137,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,0.8760887635003263,Low Sales,14
FDV20,12.6,Regular,0.059511812,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,0.8676854210699221,High Sales,28
DRZ11,8.85,Regular,0.113123893,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,1.0031395349101433,Low Sales,4
FDX10,12.6,Regular,0.123111453,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,0.9205197684191376,High Sales,28
FDB34,12.6,Low Fat,0.026480954,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,0.9251308290764402,High Sales,28
FDU02,13.35,Low Fat,0.102511504,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528,0.9222899150035627,High Sales,16
FDK43,9.8,Low Fat,0.02681843,126.002,OUT013,High,Tier 3,Supermarket Type1,2150.534,0.9215224160526706,Medium Sales,26
FDA46,13.6,Low Fat,0.117818348,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768,0.9310779364692868,High Sales,14
FDC02,21.35,Low Fat,0.069102831,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,6768.5228,0.9334195377024119,High Sales,4
FDL50,12.15,Regular,0.042277867,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138,0.9980787902561442,High Sales,26
FDM39,6.42,Low Fat,0.089498926,178.1002,OUT010,Small,Tier 3,Grocery Store,358.2004,1.464116667660315,High Sales,15
NCP05,19.6,Non-Consumable,0.018756953777777776,153.3024,OUT045,Small,Tier 2,Supermarket Type1,2428.8384,0.75,Low Sales,11
FDV49,10,Low Fat,0.025879577,265.2226,OUT045,Small,Tier 2,Supermarket Type1,5815.0972,0.9241603460120508,High Sales,11
FDL12,15.85,Regular,0.121632721,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646,0.8747287915078714,Low Sales,16
FDS02,12.6,Regular,0.255394896,196.8794,OUT019,Small,Tier 1,Grocery Store,780.3176,1.6616354111924645,High Sales,28
NCL17,7.39,Non-Consumable,0.067779712,143.8812,OUT046,Small,Tier 1,Supermarket Type1,3134.5864,0.8747287887220742,Low Sales,16
FDM40,10.195,Low Fat,0.159803853,141.5154,OUT013,High,Tier 3,Supermarket Type1,850.8924,0.9328773848835529,Medium Sales,26
FDR13,9.895,Regular,0.028696932,117.0492,OUT013,High,Tier 3,Supermarket Type1,810.9444,0.8740008759338731,High Sales,26
FDA43,10.895,Low Fat,0.065041581,196.3794,OUT017,Small,Tier 2,Supermarket Type1,3121.2704,0.8796766099576359,High Sales,6
NCP18,12.15,Non-Consumable,0.028760013,151.4708,OUT017,Small,Tier 2,Supermarket Type1,4815.0656,0.9275067647960545,High Sales,6
FDK21,7.905,Low Fat,0.010053105,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,6258.52,0.9334195624341675,High Sales,4
NCX54,9.195,Non-Consumable,0.048157338,106.1622,OUT045,Small,Tier 2,Supermarket Type1,2117.244,0.9315179298292239,High Sales,11
DRK35,8.365,Low Fat,0.071958197,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,796.9626,0.8760887617519185,Medium Sales,14
FDY21,15.1,Low Fat,0.173481304,194.511,OUT046,Small,Tier 1,Supermarket Type1,4910.275,0.9513858526903725,High Sales,16
FDI26,12.6,Low Fat,0.061082177,180.0344,OUT019,Small,Tier 1,Grocery Store,892.172,1.6148105887521402,High Sales,28
FDM20,10,Low Fat,0.0364918673,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,3185.1872,0.8333333333333334,High Sales,4
FDV27,7.97,Regular,0.040071131,87.3514,OUT045,Small,Tier 2,Supermarket Type1,1062.6168,0.8503936434710149,Medium Sales,11
FDF09,12.6,Low Fat,0.012090074,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,484.7024,0.9251308536486635,High Sales,28
FDY40,12.6,Regular,0.15028599,51.0692,OUT019,Small,Tier 1,Grocery Store,147.8076,1.5474933749123494,Medium Sales,28
FDY45,12.6,Low Fat,0.026015519,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,2543.356,0.9538823918231123,High Sales,28
FDC46,17.7,Low Fat,0.195068226,185.4266,OUT010,Small,Tier 3,Grocery Store,184.4266,1.5560143953260468,High Sales,15
FDH19,19.35,Low Fat,0.033082215,172.5738,OUT035,Small,Tier 2,Supermarket Type1,4865.6664,0.9221155127052101,Medium Sales,9
FDZ03,13.65,Regular,0.078946455,186.024,OUT045,Small,Tier 2,Supermarket Type1,1118.544,0.9281228332853192,High Sales,11
DRH37,17.6,Low Fat,0.041700756,164.8526,OUT045,Small,Tier 2,Supermarket Type1,2302.3364,0.8765027640696679,Low Sales,11
NCI17,8.645,Non-Consumable,0.143422643,95.841,OUT046,Small,Tier 1,Supermarket Type1,2027.361,0.9249991148310271,Low Sales,16
FDJ58,15.6,Regular,0.105296072,170.1764,OUT046,Small,Tier 1,Supermarket Type1,3435.528,0.8747287875118144,High Sales,16
FDL12,15.85,Regular,0.121531501,59.222,OUT013,High,Tier 3,Supermarket Type1,599.22,0.8740008619873568,Low Sales,26
FDH35,18.25,Low Fat,0.05810121044444445,164.7526,OUT045,Small,Tier 2,Supermarket Type1,4604.6728,0.9,High Sales,11
FDG02,7.855,Low Fat,0.011324862,189.6188,OUT017,Small,Tier 2,Supermarket Type1,2285.0256,0.9275067286121007,High Sales,6
NCZ18,7.825,Non-Consumable,0.186357148,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,5580.7356,0.9268713929240054,High Sales,14
FDC29,8.39,Regular,0.024205661,114.0176,OUT046,Small,Tier 1,Supermarket Type1,2290.352,0.9990697616442725,Medium Sales,16
FDQ10,12.85,Low Fat,0.033230816,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,1207.0954,0.9237238339071361,High Sales,14
FDN48,12.6,Low Fat,0.113720344,89.9804,OUT019,Small,Tier 1,Grocery Store,643.1628,1.5315372016230426,Low Sales,28
FDL04,19,Low Fat,0.112556507,104.9622,OUT017,Small,Tier 2,Supermarket Type1,1587.933,0.9275067671896535,Medium Sales,6
FDV25,5.905,Low Fat,0.04441604033333334,222.5456,OUT045,Small,Tier 2,Supermarket Type1,5305.0944,0.9,High Sales,11
FDD58,7.76,Low Fat,0.059352241,101.87,OUT046,Small,Tier 1,Supermarket Type1,1697.79,0.8747287866525949,High Sales,16
FDN04,11.8,Regular,0.014087057,180.3344,OUT046,Small,Tier 1,Supermarket Type1,1427.4752,1.0147657505784495,Medium Sales,16
FDV45,16.75,Low Fat,0.045230944,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,4693.89,0.9260469457443702,High Sales,4
NCL18,12.6,Non-Consumable,0.293417759,194.6136,OUT019,Small,Tier 1,Grocery Store,583.2408,1.6148105893820424,High Sales,28
FDR12,12.6,Regular,0.031382044,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,3091.9752,0.8704928746102873,Low Sales,28
FDG20,15.5,Regular,0.12639886,177.0028,OUT017,Small,Tier 2,Supermarket Type1,2479.4392,0.9348909885210056,High Sales,6
FDZ55,6.055,Low Fat,0.025403898,160.992,OUT035,Small,Tier 2,Supermarket Type1,2716.464,0.9988808402357966,High Sales,9
FDQ49,12.6,Regular,0.039057677,155.963,OUT027,Medium,Tier 3,Supermarket Type3,3285.723,0.8673835674751831,Medium Sales,28
FDN33,6.305,Regular,0.123115764,95.6436,OUT046,Small,Tier 1,Supermarket Type1,661.8052,0.9990697475981462,High Sales,16
FDN27,20.85,Low Fat,0.039624006,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,1523.3504,0.9517970383470623,Medium Sales,14
FDW20,20.75,Low Fat,0.040421193,122.173,OUT010,Small,Tier 3,Grocery Store,369.519,1.5617277461640404,High Sales,15
DRG27,8.895,Low Fat,0.105274111,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346,0.9267038048585214,High Sales,14
DRI25,19.6,Low Fat,0.033970195,55.1614,OUT045,Small,Tier 2,Supermarket Type1,1381.535,0.9315179184271947,Low Sales,11
FDA44,19.7,Low Fat,0.053212652,57.893,OUT035,Small,Tier 2,Supermarket Type1,622.523,0.9294568248579792,High Sales,9
NCR17,9.8,Non-Consumable,0.024378706,114.5492,OUT035,Small,Tier 2,Supermarket Type1,1274.3412,0.9988808191929445,Low Sales,9
FDU04,12.6,Low Fat,0.009714595,120.0414,OUT019,Small,Tier 1,Grocery Store,487.3656,1.6626731919645845,Medium Sales,28
FDF41,12.15,Low Fat,0.131383762,246.046,OUT049,Medium,Tier 1,Supermarket Type1,1231.73,0.876088763259926,Medium Sales,14
FDB56,8.75,Regular,0.074613090000000007,187.4556,OUT035,Small,Tier 2,Supermarket Type1,3755.112,1.0139005933372311,High Sales,9
NCP18,12.6,Non-Consumable,0.028459761,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,4363.6532,0.9178236759482314,High Sales,28
FDB56,8.75,Regular,0.074627201,187.8556,OUT046,Small,Tier 1,Supermarket Type1,1314.2892,1.0140923445604089,High Sales,16
FDT28,13.3,Low Fat,0.063695084,151.0708,OUT045,Small,Tier 2,Supermarket Type1,1805.6496,0.9241603474535889,Medium Sales,11
